NAME,ISIN,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,country_code
ADVANTEST,JP3122400009,,,,,,,,,,,,1896.0,1816.1,3001.31,2954.02,4093.0,3755.0,3880.0,3824.0,3811.0,4680.0,4480.0,3810.0,3750.0,3450.0,2480.0,,JP
ALFRESA HOLDINGS,JP3126340003,,,,,,,,,,,,,,,,,,,40854.0,38750.0,36059.0,32912.0,35109.0,33101.0,32399.0,32904.0,31360.0,JP
ALPS ALPINE,JP3126400005,,,,,,,,,,,,11061.0,,8496.0,9074.0,,,,,,19525.0,44174.0,31985.0,43973.0,16770.0,13617.0,13981.0,JP
AEON MALL DEAD - DELIST.27/06/25,JP3131430005,,,,,,,,,,,,,,,,,,,13731.0,15977.0,15271.0,13840.0,14627.0,16721.0,14293.0,,,JP
IHI,JP3134800006,,,,,,,,,,,,,,,76028.0,,,,,,80032.0,64724.0,58517.0,64270.0,61469.0,65033.0,,JP
ISUZU MOTORS,JP3137200006,,,,,,,,,,,,,,,,,,,,,127933.0,126547.0,114195.0,128074.0,196182.0,182536.0,172302.0,JP
ITO EN,JP3143000002,,,,,,,,,,,,,,,,,,,,,33000.0,24000.0,33000.0,32000.0,30000.0,41000.0,,JP
ITOCHU,JP3143600009,,,,,,,,,,,,,,,,,,74962.0,86536.0,1540041.0,1213395.0,1202508.0,1522339.0,1484602.0,1166000.0,1062488.0,1086653.0,JP
IBIDEN,JP3148800000,,,,,,,,,,,,246000.0,283000.0,237000.0,182000.0,147000.0,124000.0,127000.0,134000.0,134000.0,144000.0,142000.0,155000.0,183000.0,177000.0,163000.0,,JP
USHIO,JP3156400008,,,,,,,,,,,,,,,,,3027.0,3543.0,3810.0,4083.0,3993.0,4006.0,3674.0,4260.0,3982.0,3478.0,3446.0,JP
UBE,JP3158800007,,,,,,,,1662000.0,,,,10200000.0,,,,,,11530000.0,11320000.0,11330000.0,11250000.0,11400000.0,10690000.0,3790000.0,3390000.0,3140000.0,,JP
EISAI,JP3160400002,,,,,,,,,,,,,,,,,37519.0,29698.0,41154.0,42748.0,45452.0,49457.0,45009.0,46534.0,47507.0,48586.0,,JP
RENESAS ELECTRONICS,JP3164720009,,,,,,,676000.0,686000.0,706000.0,686000.0,631000.0,331000.0,,,,,,,53.0,221166.0,183359.0,172427.0,198116.0,196261.0,156403.0,125385.0,,JP
NOK,JP3164800009,,,,,,,,,,,,47940.0,37200.0,48760.0,44673.0,,,,,8000.0,46000.0,43000.0,38000.0,41000.0,39000.0,36000.0,,JP
NTN,JP3165600002,,,,,,,245223.0,270000.0,,,,69083.0,93731.19,,103762.0,,103640.0,97263.0,96734.0,102666.0,105284.0,93000.0,86000.0,106000.0,101000.0,91000.0,,JP
