NAME,ISIN,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
RAMSAY HEALTH CARE,AU000000RHC8,,,,,,,,,,,,,,,,,,15334.0,15722.0,,,55544.0,54982.0,83371.0,81885.0,90260.0,88711.0
ST BARBARA,AU000000SBM8,,,,,,,,,,,,,,89381.0,,,83000.0,131000.0,141000.0,141000.0,155000.0,175000.0,165000.0,145000.0,,,
SUNLAND GROUP DEAD - DELIST.30/10/23,AU000000SDG6,"$$ER: 0904,NO DATA AVAILABLE",,,,,,,,,,,,,,,,,,,,,,,,,,
SEEK,AU000000SEK6,,,,,,,,,,,,,,,,,,,,,,,0.0,68.0,88.0,87.0,
SIMS,AU000000SGM7,,,,,,,,,96481.27,136582.0,143045.0,142256.0,149941.0,117886.0,111131.0,106935.0,105213.0,82241.0,67266.0,80200.0,37400.0,76100.0,72100.0,80500.0,81500.0,79600.0,
STOCKLAND STAPLED UNITS,AU000000SGP0,,,,,,,,3500.09,3323.88,3201.34,18957.0,19099.0,27459.0,26961.0,18468.0,22101.74,26368.42,35036.0,27237.0,25453.0,24230.0,21028.0,4999.0,3902.0,3041.0,1905.0,
SONIC HEALTHCARE,AU000000SHL7,,,,,,,,,,,,,6646.0,8114.0,8285.0,8158.0,8326.0,8386.0,,,,7654.0,34677.0,35796.0,32503.0,,29908.0
SIGMA HEALTHCARE,AU000000SIG5,,,,,,,,,,,,4580.0,,,,,,,,,,,,27.0,3.37,7.57,
SANTOS,AU000000STO6,,,,,,,,4650000.0,4453917.0,3457460.0,3370540.0,3665981.0,3579410.0,3807773.0,3677867.0,3936602.0,4350000.0,5040000.0,5820000.0,5490000.0,5830000.0,5310000.0,6400000.0,5870000.0,5500000.0,4440000.0,
SUNCORP GROUP,AU000000SUN6,,,,,,,,,,,,,7443.0,6832.0,6584.0,6311.0,5926.0,5306.0,7073.0,8646.0,2739.0,2137.0,1826.0,1543.0,1811.0,1701.0,1286.0
SEVEN WEST MEDIA DEAD - DELIST.08/01/26,AU000000SWM4,,,,,,,,,,,,,,,,,,,,,,,,2486.63,,2486.63,
SOUTHERN CROSS MEDIA GROUP,AU000000SXL4,,,,,,,,,,,,,,,,,,,,,,,191.0,,429.35,371.02,320.16
TABCORP HOLDINGS,AU000000TAH8,,,,,,,,,,,,,9641.0,,1711.0,1807.0,1969.0,1978.0,2021.0,3892.0,5219.0,4523.0,2668.0,3265.0,3375.0,3509.0,3108.0
TRANSURBAN GROUP STAPLED UNITS,AU000000TCL6,,,,,,,,,117.0,212.0,231.0,143.0,117.55,143.0,147.0,149.0,1944.0,2020.0,2746.0,4189.0,3393.0,4213.0,4598.0,5300.0,5923.0,6072.0,5845.0
TELSTRA GROUP,AU000000TLS2,,,,,,,154381.0,149075.0,123051.0,100440.0,89952.0,81803.0,55137.0,53587.0,53645.0,52537.0,52003.0,50628.0,52680.0,55131.0,47204.0,36905.0,33085.0,31869.0,30738.0,33167.0,
WESTPAC BANKING,AU000000WBC1,,,,,,,,,,6316.0,10963.0,9565.0,21463.0,10277.0,10663.0,10270.0,10830.0,11102.0,9274.0,9824.0,9260.0,7594.0,7851.0,7297.0,6559.0,6262.0,4714.0
WESFARMERS,AU000000WES1,,,,,,,,,,,3012000.0,,3069669.0,2508924.0,,,,,,,,,,,845870.0,829889.0,789710.0
WORLEY,AU000000WOR2,,,,,,,,,,,,,34774.0,39209.0,,,,19118.0,11602.0,10614.0,32119.0,36928.0,25555.0,22238.0,22334.0,23963.0,24485.0
WOOLWORTHS GROUP,AU000000WOW2,,,,,,,,748825.0,,622241.0,472983.0,485985.0,398653.0,383871.0,512855.0,498030.0,525635.0,1301505.0,667238.0,663699.0,574831.0,477376.0,425836.0,495276.0,482624.0,463027.0,442289.0
A2B AUSTRALIA DEAD - DELIST.12/04/24,AU0000032187,"$$ER: 0904,NO DATA AVAILABLE",,,,,,,,,,,,,,,,,,,,,,,,,,
HEALIUS,AU0000033359,,,,,,,,,,,,,,,,,,,,,,,6585.0,6521.0,6189.0,5878.0,
OVATO DEAD - DELIST.29/08/22,AU0000038911,,,,,,,,,,,,27000.0,28000.0,25000.0,25000.0,,,,,,,,,,,,
AMPOL,AU0000088338,,,,,,,1800000.0,,,1887665.0,1887670.0,1817630.0,1869330.0,1849424.0,1849610.0,1704466.0,938697.0,733537.0,737663.0,739832.0,673668.0,576611.0,551804.0,727358.0,683969.0,725975.0,
WOODSIDE ENERGY GROUP,AU0000224040,,,,,,,,,,,8979762.0,8304547.0,7890419.0,8402000.0,9184000.0,9822000.0,9974000.0,10084000.0,9883000.0,9767000.0,8840000.0,9170000.0,8901000.0,9565000.0,9165000.0,9872000.0,
CHINESE ESTATES HDG.,BMG2108M2182,,,,,,,,,,,,,,,,,,,0.5,3.2,3.0,1.0,0.0,0.0,0.0,0.0,
CKI HOLDINGS,BMG2178K1009,,,,,,,,,,,,,,,,,,,7464392.0,8944665.0,8486783.0,8369513.0,7488261.0,7327908.0,7038127.0,6552043.0,
COSCO SHIPPING PORTS,BMG2442N1048,,,,,,,,,,,,,,,36756.0,59603.0,60675.0,519459.0,53163.0,45909.0,104482.0,83558.0,85837.0,84895.0,78497.0,76919.0,
DFI RETAIL GROUP HOLDINGS,BMG2624N1535,,,,,,,,,,,,,,,,,,,,,,,350000.0,236000.0,236000.0,239000.0,
HOPSON DEVELOPMENT HOLDINGS,BMG4600H1198,,,,,,,,,,,,,,,,,,,5061.01,2108.0,1430.0,1438.0,1299.0,1027.0,3001.0,2981.0,
HUABAO INTL.HDG.,BMG4639H1227,,,,,,,,,,,,,,,,,,,,51717.8,45754.1,35588.6,10220.0,7020.0,7065.0,14733.0,
JARDINE MATHESON HDG.,BMG507361001,,,,,,,,,,,,,,,,,,,,,,,4394700.0,4839300.0,4992100.0,5028700.0,
KERRY PROPERTIES,BMG524401079,,,,,,,,,,,,,1726.0,1534.0,2203.0,3636.0,7367.0,5370.0,2896.0,5359.0,11180.0,6631.0,4360.0,4230.0,4867.0,5094.0,
KUNLUN ENERGY,BMG5320C1082,,,,,,,,,,,,,,,,,,,,,,470667.0,480112.0,460708.0,373839.0,489665.0,
CTF SERVICES,BMG668971101,,,,,,,,,,,,,,,,389294.9,381745.9,399180.0,,,,19565.0,24272.0,19007.0,32918.0,28284.0,26131.0
ORIENT OVERSEAS (INTL.),BMG677491539,,,,,,,,,,,,,5858430.0,5871310.0,5285450.0,4903190.0,5375230.0,5350920.0,5811600.0,5645570.0,5558670.0,5538510.0,5544130.0,5815100.0,6277700.0,6922800.0,
PACIFIC BASIN SHIP.,BMG684371393,,,,,,,,,,,,,616300.0,528300.0,705100.0,902000.0,1043000.0,1028000.0,1313000.0,1412000.0,1427000.0,1477000.0,3406000.0,2592000.0,2870000.0,3156000.0,
SHANGRI-LA ASIA,BMG8063F1068,,,,,,,,,,,127834.8,149829.7,,151813.0,,,,,,,,,,107000.0,150000.0,150000.0,
SINOFERT HOLDINGS,BMG8403G1033,,,,,,,,,,,,,,,,,,,,,1584918.0,1001131.0,1390803.0,1484747.0,1671996.0,1740170.58,
YUE YUEN INDL.HDG.,BMG988031446,,,,,,,,,,,,,,,,,122800.0,215600.0,246616.0,48600.0,27000.0,18000.0,14000.0,50000.0,45000.0,71000.0,
CHINA UNICOM (HONG KONG),HK0000049939,,,,,,,,,,,,,,,,,,,,370000.0,390000.0,200000.0,530000.0,140000.0,100000.0,110000.0,
CHINA TAIPING INSURANCE HLDGS,HK0000055878,,,,,,,,,,,,,,,,,,,821.42,1160.17,25993.25,4897.72,2869.52,5616.7,10525.89,9399.67,
TELEVISION BROADCASTS,HK0000139300,,,,,,,,,,,,,,,,,,,,777.83,766.02,673.64,574.74,555.38,463.06,364.07,
SHOUCHENG HOLDINGS,HK0000592854,"$$ER: 0904,NO DATA AVAILABLE",,,,,,,,,,,,,,,,,,,,,,,,,,
NEW WORLD DEVELOPMENT COMPANY,HK0000608585,,,,,,,,,,,,,,,,,388909.0,57.0,336799.0,311061.0,32310.0,35471.0,42426.0,46006.0,8024.0,9701.0,
YUEXIU PROPERTY COMPANY,HK0000745908,,,,,,,,,,,,,,,,,,1456.83,640.9,2318.42,2631.45,3488.44,3491.21,1795.56,1932.02,6328.83,
CLP HOLDINGS,HK0002007356,,,,,,,,,,,49826000.0,41649000.0,44250000.0,38245000.0,,,,,,,,45105000.0,47690000.0,44141000.0,38163000.0,38055000.0,
HONG KONG AND CHINA GAS,HK0003000038,,,,,,,,,,,,,,332521.0,801000.0,725000.0,898000.0,834000.0,822000.0,807000.0,,1682000.0,1808000.0,1830000.0,1596000.0,1628000.0,
WHARF HOLDINGS,HK0004000045,,,,,,,,,,,,,,,,32251.0,25430.0,29708.0,28217.0,15125.0,20846.0,17024.0,17577.0,16346.0,16654.0,16961.0,
POWER ASSETS HOLDINGS,HK0006000050,,,,,,,9940000.0,9850000.0,9080000.0,9170000.0,9150000.0,8650000.0,8631000.0,8960000.0,,,,,10642009.0,11403116.0,9681775.0,6503836.0,6981321.0,6942303.0,6875967.0,6256096.0,
PCCW,HK0008011667,,,,,,,,,,,,,,,,,,,6497.0,8925.0,6953.0,7359.0,6548.0,4336.0,5080.0,5477.64,
HANG LUNG GROUP,HK0010000088,,,,,,,,,,,,,,,489.53,2413.89,967.94,2285.31,4967.91,3062.65,6219.26,3150.93,2636.0,3942.0,4034.0,4292.0,
HANG SENG BANK DEAD - DELIST.28/01/26,HK0011000095,,,,,,,,,,31.96,62.1,46.38,20.93,0.0,0.0,0.0,,54.4,64.45,192.2,193.87,144.52,70.16,100.58,137.87,116.55,
HENDERSON LD.DEV.,HK0012000102,,,,,,,,,,,,,,,,,846.0,,852.0,837.0,811.0,892.0,7061.0,5137.0,19434.0,13137.0,
HYSAN DEVELOPMENT,HK0014000126,,,,,,,,,,,,,,,,,,,,30.0,42.0,23.0,548.0,789.0,1754.0,1051.0,
SUN HUNG KAI PROPERTIES,HK0016000132,,,,,,,,,,,,,,,,3621.0,5791.0,62175.0,59227.0,62405.0,,42750.0,37885.0,45202.0,20180.0,20335.0,51892.0
SWIRE PACIFIC 'A',HK0019000162,,,,,,,,5788000.0,14510000.0,14830000.0,14330000.0,15708876.0,16394997.0,16280465.0,16079793.0,17065098.0,17740000.0,17938000.0,18461000.0,18659000.0,18668000.0,226000.0,171000.0,120000.0,110000.0,79000.0,
BANK OF EAST ASIA,HK0023000190,,,,,,,,,,,,,,,,,,1758.34,1897.11,2256.22,6046.85,3471.32,5750.62,2807.42,3288.88,2254.0,
